numbers,comments
1,第一次用苹果电脑 不太熟悉 做了下功课 用了一段时间感觉就是 超棒的学习办公神器 苹果全家桶同步起来很舒服 体验很棒贵是真的好贵 尽管教育优惠的m1版mac性价比很棒了、  算是目前用过屏幕最好的电脑了 色彩真的绝 学习真的体验很不错 逐渐理解用户体验比叠配置要有意义得多喜欢mac的轻薄 屏幕好 精准的触控板可以舍弃鼠标 没有风扇可以放在被子上也不怕散热风扇积灰 日常办公学习追剧一点不热 续航真的十分惊喜 一定要配一个原厂的拓展坞 不外界显示器的话 买140多的那款只接一个usb的就够用了 赞、
2,运行速度：刚刚的，试用期，没用啥大的软件。屏幕效果：显示效果一流外形外观：美观大气上档次轻薄程度：轻薄舒适
3,神速上门送到家，开箱注册后，安装了必备常用软件，已测试各项功能三天，最终官网检测序列号查询，是原装原封正品机，什么时候售出，保修期剩余多长时间，清楚，一目了然。我是弄了个教育优惠价，香的很！
4,先说说快递，下午下单，第二天就到了，快递物流非常快，而且一点都没有坏，都是完好无损的，给力。包装也完全没有破损，很完美，一开始下单的时候，以为包装会破损，收到货才发现一点问题都没有。之前一直在想买一台mac，找了很多家平台，朋友推荐在京东上购买，主要还是因为正品，自营售后也很好，比较放心，而且操作界面非常方面，屏幕看着很舒服，总体来说，好评！
5,用教育优惠买的，很划算！这个颜色第一次买，本来觉得会不会有点太深了，没想到到手发现真的很大气上档次啊！之前旧电脑的银色不耐脏，这个颜色很喜欢，其他不多说了，yyds！
6,比较了很久，到底是M1更好还是M2更好。但是京东的5999价格让我非常心动，最终下单了M1的air。日常办公使用air M1应该没啥问题，看中M1更强的续航，出门在家都不用充电了！
7,电脑运行起来非常丝滑，外观设置很美，包装也挺严实，送货速度更是无可挑剔，一个字快，屏幕分辨率率也挺不错，色彩饱满度高，看起来挺柔和的，眼镜久看不疲劳
8,运行速度：运行速度：? 拿来办公的，打开图片处理软件在内的多个软件运行流畅，速度很快！屏幕效果：?超清屏幕，桌面可以很丰富灵活的设置！散热性能：?长时间运行不卡顿，散热效果很不错！外形外观：?酷酷的冷灰色，很赞
9,Apple MacBook Air款采用M1 8核芯片，搭配8GB内存、256G SSD闪盘，运行MacOS速度杠杠滴，一点都不卡顿！苹果?笔记本运行MacOS也才是绝配操作系统，可以支持很多人性化功能，额外搭配Apple原厂鼠标??，操作起来更加丝滑柔顺！做工精致、用料讲究、超高颜值。一如既往支持京东，一如既往好评！用的教育优惠，看了好久，终于买了！除了跑马边不太喜欢，其他的都很满意（谁让M1便宜呢&hellip;&hellip;）
10,盒子因为运输撞了一个角，设备没事入手后发现没啥用，干活还是rog好用，新装一个Matlab都有点卡顿，还是只能干轻量级的影音娱乐和文本绘画了，有性能需求或者只有一台电脑还是要加钱加配，不然捉襟见肘不过挺好看的，新机，比rog有光泽。作为Apple生态的一环很不错，跟iPhone、iPad、watch、AirPods联动性很好
11,第一次购买，确认要比想象中好用多了，丝滑且很轻便，之前买的华为笔记本，才2年没怎么用主板就烧坏了。太恼火了，这次换苹果试试
12,除了打开屏幕没有给我自动开机是因为没电之外，暂时没发现什么问题运行速度：不错屏幕效果：很好散热性能：还不知道外形外观：漂亮
13,非常不错！挺好的本本！运行流畅，屏幕很清晰，看视频效果不错！学习，办公都可以！很好的超极本本，价格便宜，你喜欢你就值得拥有！！有机会再买一台！！！
14,太爱苹果了，流畅顺滑，跟公司的电脑一比真的绝了，再也接受不了卡的电脑哈哈哈。价格也很优惠，喜欢得不了，不过还在慢慢摸索中。
15,运行速度：很快，电池超级耐用，用一整天，12小时完全没问题屏幕效果：很好，明亮散热性能：很好，没感觉到热外形外观：漂亮，实用，担心破损轻薄程度：很薄，比2017年款小其他特色：苹果，你值得拥有。第一台苹果笔记本电脑，由于容量小，换了这一台容量大的。
16,拿到手很惊喜，很轻，追追剧还是很方便的，给小朋友用也方便，带出门也方便，总体来说还不错，就是安装一些软件比较麻烦。屏幕效果：很好外形外观：好看轻薄程度：很轻散热性能：可以运行速度：可以其他特色：颜色好看
17,电脑超级薄 质感也特别好 质量应该很不错 电脑是苹果系统 不可以用windows 系统 可以普通办公 不适合会计使用 不能下载会计要用的很多软件 很多软件苹果系统不能下载
18,外形外观：外形精致，外观非常好看，颜值很高轻薄程度：非常轻薄，便于携带，对于轻办公来说是首选运行速度：运行速度流畅，没有丝毫的卡顿屏幕效果：屏幕效果非常好，显示清晰，色彩鲜艳
19,很漂亮，但是很多都不兼容
