numbers,comments
1,外形外观：暗夜紫，超级好看，高端大气上档次低调奢华有内涵。屏幕音效：屏幕细腻光滑。音质不错拍照效果：拍照清晰，广角镜头感十足运行速度：运行速度很快，软件安装几十个也不卡顿待机时间：待机时间长了，正常使用足够了
2,上午10点买的手机，下午4点就收到货了，京东物流真是太棒了。新手机就是不一样，紫色我特别喜欢的颜色，特别好用，一直都是pro max，追剧看电视很爽。外观达到心理预期，音效特别好，拍照录视频也惊艳到了，非常清晰，画质非常好！待机也很给力，一天一次电，充电的时候还有40%以上。外形外观：一切完好，没有一点瑕疵屏幕音效：屏幕细腻，立体声很棒，听歌很舒服拍照效果：无论远近，都能拍出运行速度：完全够用
3,很满意的一次购物外形外观：完美无瑕疵屏幕音效：嘎嘎给力拍照效果：比上一代质的飞跃运行速度：快的一比待机时间：续航一天轻度游戏完全够用。
4,手机打开的瞬间确实是惊艳到我的眼球了，屏幕颜色很是通透，不愧是三星的屏幕确实是不错，待机时间也很不错，尤其是续航时间也令人眼前一亮，配置就不过多说了，好评！
5,fPhone14PM真的太惊艳了，比较爱玩游戏，打游戏完全不会卡顿。打游戏真的太流畅了，真的非常喜 欢这个手机。外观很好看，手感拿看很有质感，屏幕看着非常好，抽照效果很不错，超长待机一整 天。颜色也好看，黑色看起来简单大气，非常的干净整洁。运行非常流畅，屏幕显示细腻，给人很舒 服的感觉，而且相机夜景提升很大，拍出来的效果 堪比佳能相机
6,外形外观：酷炫！完美！屏幕音效：顶级！拍照效果：超级棒??运行速度：速度与激情！飞上天！待机时间：一天轻松拿下！其他特色：非常好！
7,终于换上了，非常完美，外观简直不要太好看了。一直在用iPhone，音效也很好，速度流畅。本人只是用于通讯交流，偶尔刷刷视频，续航也很够。
8,快递已收到物流很快第二天就到了。一拿到手就迫不及待的拆开看了，真的挺漂亮，苹果手机颜值真的很高，第一次购买苹果手机。一拿到手上就彻底爱上了。虽然很多功能还不是很熟悉但是慢慢会上手的。苹果手机值得拥有。。
9,外形外观：优雅不失大气屏幕音效：效果特别好拍照效果：清新自然爆裂，完美运行速度：特别快，很给力
10,外形外观：暗夜紫很好看，手感很舒服待机时间：超长，不玩游戏的话可以用超过24小时拍照效果：有电影效果，很不错 超清
