numbers,comments
1,很喜欢漏光这个效果看电影肯定好 看着电影4个方向漏光   爽歪歪打fps游戏  好的很      这个显示器真不错   盒子发过来都是坏的  很不错的大品牌就是不一样其他特色：漏光  不错
2,外形外观：边框窄，外型简单大气上档次尺寸大小：用来看电视打游戏够够的了游戏效果：画质拉满刷新率：老公说可以显色效果：看电视很舒服其他特色：另外配的电脑支架也是京东买的，刚好合适随便调节角度
3,屏幕：屏幕面板无坏点材质：材质触摸感受非常好显示方面：2k清晰度特别高加上240hz（我跑不满）使用起来很舒服，并没有卡顿色彩：打游戏非常够用游戏：我是重度fps玩家，这款显示器让我非常惊喜，使用感受不到拖影，在csgo游戏中非常灵敏
4,屏幕真的赞，ips的165hz 加上2k屏幕，简直满足了我玩游戏和做设计的双重需要，这是真心话，一般很少给评论，另外谢谢客服热心给我服务
5,宝贝收到咯??，真的很棒呀！?质量真是没话说，非常满意！?开心开心?物流速度真的是没话说，就是一个字：快。
6,实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦想买的别犹豫哇！没有廉价的感觉，很高端，特别棒！?宝贝收到了，颜色很好看，质感也很好，样子简单！?是我想要的！！下次还会再来！
7,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物。。。用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了。
8,第一次用240的hz的屏幕，确实比以前的60的好用多了，直接跨越几个大跨度，显示器啥的不咋懂，但是这个价位2K?240hz的27寸显示器确实少见。还是大牌子。很不错的体验。
9,屏幕完好，小检测没发现坏点。降低亮度，提高点对比度，色温选srgb，显示效果不错。尺寸大小合适，使用壁挂安装，简易方便；显示器紧贴墙面能保持合适的距离。刷新率在DP连接下有60，120，144，165四档可调。
10,屏幕漏光如图所示，IPS不可避免的通病，但是日常使用以及房间有充足照明的情况下，肉圆看不出来，各个对比度如图，个人感觉可以到96%左右外形外观：六边形底座不能说超Dell只能说很像，但是在大多数爪型的现在不占空间，使用也稳固还是不错的尺寸大小：27寸，分量感十足，指甲压手稳固安装便捷游戏效果：暂时没上电脑和游戏测试刷新率：HDMI可以到144，而dp是1.2的不能满血一直180/10bit输出，还是很可惜，但是1698这个价位，完全可以接受显色效果：nanoIPS鲜艳，一开始需要适应，对于fast IPS看习惯的来说，每家调教不同，肉眼观感不一样还需自行体验
